 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Angle(linea_horizontal_1),Median(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Angle(linea_vertical_1),Median(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Angle(ovalo_1),Median(ovalo_1),Length(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Angle(linea_horizontal_2),Median(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Angle(linea_vertical_2),Median(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Angle(ovalo_2),Median(ovalo_2),Length(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Angle(linea_horizontal_3),Median(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Angle(linea_vertical_3),Median(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Angle(ovalo_3),Median(ovalo_3),Length(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Angle(linea_horizontal_4),Median(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Angle(linea_vertical_4),Median(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Angle(ovalo_4),Median(ovalo_4),Length(ovalo_4)
22,51,62.157,11.432,0,62,50,51,63.824,24.553,90,68,50,1976,62.239,24.369,0,59,0,51,65.706,13.559,0,66,50,51,64.608,24.659,90,69,50,1976,64.223,26.019,0,59,0,51,82.196,21.524,0,85,50,51,78.627,28.391,90,93,50,1976,76.351,31.491,0,71,0,51,86.137,22.931,0,89,50,51,82.824,30.098,90,100,50,1976,79.700,32.367,0,73,0
23,51,62.294,11.538,0,60,50,51,63.549,23.994,90,68,50,1976,62.149,23.918,0,59,0,51,65.529,13.612,0,66,50,51,64.176,24.626,90,64,50,1976,63.858,25.782,0,59,0,51,81.922,21.076,0,84,50,51,78.275,28.098,90,91,50,1976,76.069,31.317,0,71,0,51,86.157,22.966,0,89,50,51,82.353,30.144,90,100,50,1976,79.561,32.469,0,73,0
24,51,62.843,11.877,0,60,50,51,64.020,23.605,90,68,50,1976,62.044,23.524,0,59,0,51,65.078,13.404,0,66,50,51,63.706,24.424,90,64,50,1976,63.373,25.585,0,59,0,51,81.765,21.193,0,84,50,51,78.255,28.284,90,91,50,1976,76.017,31.191,0,71,0,51,85.902,23.248,0,89,50,51,82.176,29.511,90,100,50,1976,79.487,32.412,0,73,0
25,51,63.627,12.061,0,62,50,51,64.353,23.604,90,66,50,1976,62.391,23.330,0,59,0,51,64.451,13.261,0,64,50,51,63.392,24.465,90,62,50,1976,62.935,25.688,0,57,0,51,81.392,20.553,0,84,50,51,77.706,27.850,90,89,50,1976,75.731,30.881,0,71,0,51,85.353,22.729,0,89,50,51,81.706,29.096,90,98,50,1976,79.282,32.446,0,73,0
26,51,63.745,12.728,0,64,50,51,65.000,23.641,90,71,50,1976,63.121,23.252,0,60,0,51,64.039,12.985,0,64,50,51,63.255,24.586,90,62,50,1976,62.737,25.506,0,57,0,51,80.941,21.050,0,84,50,51,77.608,27.703,90,89,50,1976,75.651,31.034,0,71,0,51,85.059,22.668,0,89,50,51,81.529,29.116,90,98,50,1976,79.080,32.511,0,73,0
27,51,66.216,13.600,0,66,50,51,66.275,23.490,90,71,50,1976,64.127,23.499,0,60,0,51,63.902,13.217,0,64,50,51,63.176,24.130,90,62,50,1976,62.480,25.258,0,57,0,51,81.118,20.736,0,84,50,51,78.235,28.202,90,93,50,1976,75.505,30.813,0,71,0,51,85.392,23.017,0,89,50,51,81.980,29.381,90,100,50,1976,79.133,32.460,0,73,0
28,51,67.529,14.394,0,64,50,51,67.373,23.432,90,75,50,1976,65.481,24.006,0,62,0,51,63.098,12.926,0,64,50,51,62.431,23.793,90,60,50,1976,62.279,25.164,0,57,0,51,81.275,20.876,0,84,50,51,77.765,27.851,90,89,50,1976,75.363,30.834,0,71,0,51,85.039,22.992,0,89,50,51,82.137,29.380,90,100,50,1976,78.975,32.451,0,73,0
29,51,69.882,15.715,0,69,50,51,69.216,23.743,90,78,50,1976,66.857,24.766,0,62,0,51,63.275,12.799,0,64,50,51,62.431,24.213,90,60,50,1976,61.926,25.115,0,55,0,51,80.922,20.422,0,84,50,51,77.725,27.362,90,91,50,1976,75.202,30.695,0,69,0,51,85.078,22.821,0,89,50,51,81.882,29.304,90,100,50,1976,78.948,32.372,0,73,0
30,51,72.294,16.675,0,71,50,51,70.373,24.063,90,80,50,1976,68.609,25.714,0,62,0,51,62.549,12.930,0,64,50,51,61.941,23.862,90,60,50,1976,61.647,25.017,0,55,0,51,80.843,20.310,0,84,50,51,77.235,27.365,90,91,50,1976,74.916,30.481,0,69,0,51,85.431,23.008,0,89,50,51,81.765,28.983,90,100,50,1976,78.948,32.357,0,73,0
31,51,73.510,17.138,0,73,50,51,71.980,24.811,90,80,50,1976,69.899,26.754,0,64,0,51,62.353,12.804,0,62,50,51,61.294,23.720,90,62,50,1976,61.334,24.874,0,55,0,51,81.059,20.651,0,84,50,51,76.529,27.390,90,89,50,1976,74.574,30.433,0,69,0,51,86.176,22.932,0,89,50,51,83.176,29.967,90,102,50,1976,79.239,32.852,0,73,0
