 ,Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Min(linea_horizontal_1),Max(linea_horizontal_1),Angle(linea_horizontal_1),Length(linea_horizontal_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Min(linea_vertical_1),Max(linea_vertical_1),Angle(linea_vertical_1),Length(linea_vertical_1),Mean(ovalo_1),StdDev(ovalo_1),Min(ovalo_1),Max(ovalo_1),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Min(linea_horizontal_2),Max(linea_horizontal_2),Angle(linea_horizontal_2),Length(linea_horizontal_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Min(linea_vertical_2),Max(linea_vertical_2),Angle(linea_vertical_2),Length(linea_vertical_2),Mean(ovalo_2),StdDev(ovalo_2),Min(ovalo_2),Max(ovalo_2),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Min(linea_horizontal_3),Max(linea_horizontal_3),Angle(linea_horizontal_3),Length(linea_horizontal_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Min(linea_vertical_3),Max(linea_vertical_3),Angle(linea_vertical_3),Length(linea_vertical_3),Mean(ovalo_3),StdDev(ovalo_3),Min(ovalo_3),Max(ovalo_3),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Min(linea_horizontal_4),Max(linea_horizontal_4),Angle(linea_horizontal_4),Length(linea_horizontal_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Min(linea_vertical_4),Max(linea_vertical_4),Angle(linea_vertical_4),Length(linea_vertical_4),Mean(ovalo_4),StdDev(ovalo_4),Min(ovalo_4),Max(ovalo_4)
299,58.588,17.478,37,102,0,50,69.235,23.462,44,145,90,50,69.220,25.140,21,196,59.275,19.484,37,116,0,50,70.706,20.631,46,128,90,50,70.450,22.840,17,177,73.882,23.330,39,132,0,50,87.039,18.398,55,123,90,50,84.699,22.739,12,179,54.392,16.370,32,89,0,50,64.510,20.512,42,130,90,50,64.918,22.768,10,184
300,57.196,17.085,35,100,0,50,68.804,23.215,44,143,90,50,68.635,24.879,23,198,58.667,19.046,37,116,0,50,69.961,20.675,44,128,90,50,69.511,22.488,17,175,73.706,23.047,41,130,0,50,86.765,19.054,55,128,90,50,84.326,22.612,12,177,54.549,16.663,32,91,0,50,63.784,18.140,42,123,90,50,64.559,21.109,10,175
301,58.098,16.472,35,102,0,50,68.451,20.707,44,132,90,50,68.068,23.747,19,196,58.725,19.310,37,116,0,50,69.196,20.447,46,125,90,50,68.935,22.529,17,179,74.451,23.140,41,130,0,50,85.922,19.348,55,130,90,50,84.084,22.716,12,175,55.980,17.096,32,93,0,50,63.608,16.014,44,110,90,50,64.613,19.631,10,164
302,57.804,16.327,37,100,0,50,67.216,18.461,44,121,90,50,67.139,21.762,19,189,57.235,19.571,35,114,0,50,68.882,20.894,44,127,90,50,68.496,22.791,17,177,73.490,22.990,41,136,0,50,85.902,19.383,55,127,90,50,83.800,22.782,12,177,57.627,18.146,32,98,0,50,64.039,15.581,46,105,90,50,65.422,18.639,8,155
303,59.118,16.808,37,102,0,50,66.804,16.026,44,110,90,50,67.106,19.294,19,171,56.980,18.619,37,110,0,50,67.804,20.953,44,127,90,50,67.954,22.870,17,177,72.686,22.411,41,132,0,50,85.059,19.290,55,130,90,50,83.410,22.809,14,173,59.549,18.772,34,103,0,50,65.627,14.709,46,105,90,50,66.861,18.207,8,150
304,61.118,18.547,37,105,0,50,69.216,15.111,48,110,90,50,68.961,18.491,19,152,57.098,18.728,37,112,0,50,68.157,20.934,44,127,90,50,67.563,22.959,17,177,72.176,22.149,41,132,0,50,84.824,19.665,53,128,90,50,83.027,22.911,14,173,60.373,19.893,32,107,0,50,67.941,15.381,48,105,90,50,68.362,18.194,10,141
305,64.059,20.914,37,121,0,50,71.941,15.446,50,114,90,50,71.426,18.582,19,146,57.157,18.657,37,110,0,50,67.725,21.457,44,128,90,50,67.280,22.813,17,175,71.078,21.121,41,127,0,50,83.941,19.169,53,125,90,50,82.512,23.003,12,175,61.373,20.341,34,112,0,50,69.941,15.736,48,105,90,50,69.957,18.440,8,146
306,66.078,21.753,39,128,0,50,74.549,16.972,50,116,90,50,73.949,19.293,19,146,56.961,18.342,35,110,0,50,67.098,21.000,44,128,90,50,66.869,22.749,19,179,69.922,21.392,41,128,0,50,83.471,19.467,53,127,90,50,82.244,23.203,14,179,63.353,20.831,34,118,0,50,72.176,16.253,50,110,90,50,71.911,18.743,10,145
307,68.353,21.664,39,136,0,50,77.804,17.637,51,119,90,50,76.421,19.757,19,150,57.098,18.375,35,107,0,50,66.412,20.414,44,127,90,50,66.595,22.791,19,175,70.039,21.273,42,127,0,50,83.255,19.831,53,134,90,50,81.743,23.243,12,175,64.686,20.905,35,118,0,50,73.137,16.581,50,112,90,50,73.219,19.078,8,143
308,70.137,22.832,39,136,0,50,80.510,18.234,53,121,90,50,78.439,20.425,19,153,56.275,18.085,34,109,0,50,65.902,20.297,42,127,90,50,66.284,22.705,17,173,69.333,20.177,41,123,0,50,82.706,19.743,53,130,90,50,81.454,23.294,17,180,66.412,21.922,35,119,0,50,75.765,16.739,51,114,90,50,75.124,19.468,10,148
