 ,Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Min(linea_horizontal_1),Max(linea_horizontal_1),Angle(linea_horizontal_1),Length(linea_horizontal_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Min(linea_vertical_1),Max(linea_vertical_1),Angle(linea_vertical_1),Length(linea_vertical_1),Mean(ovalo_1),StdDev(ovalo_1),Min(ovalo_1),Max(ovalo_1),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Min(linea_horizontal_2),Max(linea_horizontal_2),Angle(linea_horizontal_2),Length(linea_horizontal_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Min(linea_vertical_2),Max(linea_vertical_2),Angle(linea_vertical_2),Length(linea_vertical_2),Mean(ovalo_2),StdDev(ovalo_2),Min(ovalo_2),Max(ovalo_2),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Min(linea_horizontal_3),Max(linea_horizontal_3),Angle(linea_horizontal_3),Length(linea_horizontal_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Min(linea_vertical_3),Max(linea_vertical_3),Angle(linea_vertical_3),Length(linea_vertical_3),Mean(ovalo_3),StdDev(ovalo_3),Min(ovalo_3),Max(ovalo_3),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Min(linea_horizontal_4),Max(linea_horizontal_4),Angle(linea_horizontal_4),Length(linea_horizontal_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Min(linea_vertical_4),Max(linea_vertical_4),Angle(linea_vertical_4),Length(linea_vertical_4),Mean(ovalo_4),StdDev(ovalo_4),Min(ovalo_4),Max(ovalo_4)
491,59.961,8.483,21,68,0,50,62.667,3.179,55,69,90,50,60.067,7.800,14,73,57.549,7.808,21,64,0,50,58.941,4.032,51,69,90,50,57.296,7.430,14,69,52.471,7.522,19,57,0,50,54.431,5.084,44,64,90,50,53.092,7.684,14,66,55.471,7.755,21,60,0,50,57.725,7.772,42,71,90,50,55.602,9.047,12,71
492,60.784,8.716,21,68,0,50,63.510,3.972,57,73,90,50,61.008,7.949,12,75,56.922,7.835,21,64,0,50,59.000,4.494,51,66,90,50,56.802,7.523,14,68,51.255,7.149,19,55,0,50,54.118,5.305,44,64,90,50,52.016,7.794,12,66,53.824,7.293,21,62,0,50,56.275,8.038,42,71,90,50,54.290,9.071,12,71
493,62.216,8.846,21,71,0,50,64.627,3.693,59,73,90,50,61.723,8.178,14,73,56.353,7.459,21,64,0,50,58.431,4.249,51,68,90,50,56.298,7.233,14,68,51.549,7.300,19,57,0,50,54.961,4.530,46,62,90,50,52.038,7.568,12,64,54.549,7.991,19,59,0,50,56.353,6.449,44,66,90,50,54.335,8.666,12,69
494,62.451,9.424,21,71,0,50,64.588,3.817,57,73,90,50,62.161,8.327,17,75,55.725,7.319,21,62,0,50,58.431,3.838,51,66,90,50,56.197,7.160,14,68,51.333,7.472,19,57,0,50,54.118,3.637,46,62,90,50,51.761,7.295,10,64,53.118,7.850,19,60,0,50,55.255,7.313,46,68,90,50,53.283,8.897,12,71
495,62.588,9.411,21,71,0,50,64.824,4.117,57,73,90,50,62.650,8.566,16,76,55.471,7.254,21,60,0,50,57.059,4.429,50,66,90,50,55.202,7.131,14,68,50.706,7.256,19,55,0,50,53.647,4.612,44,62,90,50,51.265,7.367,10,64,53.118,7.182,21,57,0,50,54.039,7.499,42,68,90,50,52.730,8.427,10,69
496,62.784,9.743,21,71,0,50,65.824,3.548,59,75,90,50,62.895,8.583,14,75,53.490,7.117,21,60,0,50,56.745,4.681,50,66,90,50,54.331,7.144,12,66,50.059,7.755,17,55,0,50,53.863,4.304,44,62,90,50,50.916,7.809,10,62,53.098,7.603,19,59,0,50,53.765,6.918,42,66,90,50,52.442,8.579,10,68
497,63.353,9.781,23,73,0,50,66.059,3.597,57,73,90,50,63.649,8.590,17,76,53.373,7.255,19,57,0,50,55.725,3.677,50,64,90,50,53.829,6.862,14,66,50.275,6.827,19,55,0,50,53.176,4.599,46,60,90,50,50.945,7.506,10,64,53.176,7.290,19,57,0,50,54.765,6.901,44,66,90,50,52.590,8.606,10,68
498,64.275,9.297,23,71,0,50,66.647,2.770,62,73,90,50,63.744,8.316,16,75,53.373,7.277,19,57,0,50,55.392,4.481,46,66,90,50,53.537,6.989,12,68,49.549,7.455,17,55,0,50,52.765,4.585,44,60,90,50,50.527,7.658,10,64,51.882,7.386,19,57,0,50,52.863,7.175,41,64,90,50,51.505,8.454,8,66
499,63.275,9.231,23,71,0,50,65.392,3.578,57,73,90,50,63.234,8.493,14,75,52.588,6.685,21,55,0,50,55.510,4.379,51,66,90,50,53.384,6.892,12,68,49.549,7.314,17,55,0,50,52.216,4.713,42,60,90,50,50.613,7.751,10,64,51.412,7.476,19,57,0,50,53.020,6.189,44,66,90,50,51.113,7.977,8,66
500,63.255,9.006,23,71,0,50,65.431,3.270,59,73,90,50,63.238,8.373,16,75,53.843,7.154,21,57,0,50,55.549,4.496,46,64,90,50,53.620,6.944,12,66,49.882,6.653,19,55,0,50,51.784,4.168,44,59,90,50,50.423,7.374,10,60,49.137,6.666,19,53,0,50,51.863,6.400,42,66,90,50,49.929,8.065,8,66
501,60.824,8.518,23,68,0,50,61.706,4.220,55,69,90,50,60.617,8.073,14,75,52.275,6.621,21,57,0,50,53.667,3.713,46,62,90,50,51.909,6.730,12,64,49.392,6.576,19,53,0,50,52.412,4.360,44,59,90,50,49.892,7.433,10,60,48.294,6.503,17,51,0,50,51.098,6.865,37,62,90,50,49.428,7.896,8,66
